Urun_ID,Ana_Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Kaynak_Site,Segment,Kullanim_Amaci,Ozellikler,Enerji_Sinifi,Renk,Garanti_Ay,Puan,Yorum_Sayisi,Stok_Durumu,Elektrikli_Mi,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link
EV-00011,Aydınlatma Ürünleri,Masa & Gece Lambası,Baseus,Baseus Masa & Gece Lambası BAS-MAS-0011,4000,Amazon Türkiye,Giriş,Pratik Kullanım,"Sıcak beyaz, 29 W, dimmer destekli",C,Lacivert,24,4.7,11184,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Baseus+Masa+%26+Gece+Lambas%C4%B1+BAS-MAS-0011,https://www.hepsiburada.com/ara?q=Baseus+Masa+%26+Gece+Lambas%C4%B1+BAS-MAS-0011,https://www.amazon.com.tr/s?k=Baseus+Masa+%26+Gece+Lambas%C4%B1+BAS-MAS-0011,https://www.teknosa.com/arama/?s=Baseus+Masa+%26+Gece+Lambas%C4%B1+BAS-MAS-0011,https://www.vatanbilgisayar.com/arama/Baseus+Masa+%26+Gece+Lambas%C4%B1+BAS-MAS-0011
EV-00012,Isıtma & Soğutma,Kombi,Vaillant,Vaillant Kombi VAI-KOM-0012,47500,Amazon Türkiye,Giriş,Isıtma,"36 kW, yoğuşmalı, dijital ekran",A+++,Krem,12,4.9,4330,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Vaillant+Kombi+VAI-KOM-0012,https://www.hepsiburada.com/ara?q=Vaillant+Kombi+VAI-KOM-0012,https://www.amazon.com.tr/s?k=Vaillant+Kombi+VAI-KOM-0012,https://www.teknosa.com/arama/?s=Vaillant+Kombi+VAI-KOM-0012,https://www.vatanbilgisayar.com/arama/Vaillant+Kombi+VAI-KOM-0012
EV-00013,Süpürgeler,Islak Kuru Süpürge,Arzum,Arzum Islak Kuru Süpürge ARZ-ISL-0013,22500,Vatan Bilgisayar,Orta,Günlük Kullanım,"2953 W motor, Siklon filtre, Kablolu",A+++,Beyaz,24,4.9,8704,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0013,https://www.hepsiburada.com/ara?q=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0013,https://www.amazon.com.tr/s?k=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0013,https://www.teknosa.com/arama/?s=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0013,https://www.vatanbilgisayar.com/arama/Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0013
EV-00014,Mutfak,Mikser,Arzum,Arzum Mikser ARZ-MIK-0014,2150,Hepsiburada,Fiyat/Performans,Günlük Kullanım,"1490 W, cam hazne",A++,Turuncu,12,3.9,7977,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arzum+Mikser+ARZ-MIK-0014,https://www.hepsiburada.com/ara?q=Arzum+Mikser+ARZ-MIK-0014,https://www.amazon.com.tr/s?k=Arzum+Mikser+ARZ-MIK-0014,https://www.teknosa.com/arama/?s=Arzum+Mikser+ARZ-MIK-0014,https://www.vatanbilgisayar.com/arama/Arzum+Mikser+ARZ-MIK-0014
EV-00015,Mutfak,Doğrayıcı & Rondo,Philips,Philips Doğrayıcı & Rondo PHI-DOĞ-0015,5700,Trendyol,Premium,Pratik Kullanım,"811 W, çoklu hız ayarı",A+,Mor,24,4.9,12389,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Philips+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+PHI-DO%C4%9E-0015,https://www.hepsiburada.com/ara?q=Philips+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+PHI-DO%C4%9E-0015,https://www.amazon.com.tr/s?k=Philips+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+PHI-DO%C4%9E-0015,https://www.teknosa.com/arama/?s=Philips+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+PHI-DO%C4%9E-0015,https://www.vatanbilgisayar.com/arama/Philips+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+PHI-DO%C4%9E-0015
EV-00016,Aydınlatma Ürünleri,Masa & Gece Lambası,Benks,Benks Masa & Gece Lambası BEN-MAS-0016,1050,Trendyol,Orta,Pratik Kullanım,"Ayarlanabilir beyaz, 12 W, dimmer destekli",B,Inox,24,3.9,359,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Benks+Masa+%26+Gece+Lambas%C4%B1+BEN-MAS-0016,https://www.hepsiburada.com/ara?q=Benks+Masa+%26+Gece+Lambas%C4%B1+BEN-MAS-0016,https://www.amazon.com.tr/s?k=Benks+Masa+%26+Gece+Lambas%C4%B1+BEN-MAS-0016,https://www.teknosa.com/arama/?s=Benks+Masa+%26+Gece+Lambas%C4%B1+BEN-MAS-0016,https://www.vatanbilgisayar.com/arama/Benks+Masa+%26+Gece+Lambas%C4%B1+BEN-MAS-0016
EV-00017,Akıllı Ev Sistemleri,Akıllı Sensör,Xiaomi,Xiaomi Akıllı Sensör XIA-AKI-0017,1900,Hepsiburada,Giriş,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Google Assistant uyumlu",A+,Turuncu,24,4.8,1175,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0017,https://www.hepsiburada.com/ara?q=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0017,https://www.amazon.com.tr/s?k=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0017,https://www.teknosa.com/arama/?s=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0017,https://www.vatanbilgisayar.com/arama/Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0017
EV-00018,Akıllı Ev Sistemleri,Akıllı Priz,Wiz,Wiz Akıllı Priz WIZ-AKI-0018,3500,n11,Orta,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Google Assistant uyumlu",A+++,Mor,24,4.4,6684,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Wiz+Ak%C4%B1ll%C4%B1+Priz+WIZ-AKI-0018,https://www.hepsiburada.com/ara?q=Wiz+Ak%C4%B1ll%C4%B1+Priz+WIZ-AKI-0018,https://www.amazon.com.tr/s?k=Wiz+Ak%C4%B1ll%C4%B1+Priz+WIZ-AKI-0018,https://www.teknosa.com/arama/?s=Wiz+Ak%C4%B1ll%C4%B1+Priz+WIZ-AKI-0018,https://www.vatanbilgisayar.com/arama/Wiz+Ak%C4%B1ll%C4%B1+Priz+WIZ-AKI-0018
EV-00019,Isıtma & Soğutma,Vantilatör,Vantil,Vantil Vantilatör VAN-VAN-0019,1200,Hepsiburada,Giriş,Günlük Kullanım,"909 W, günlük kullanıma uygun, kompakt tasarım",A++,Inox,12,4.3,5574,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Vantil+Vantilat%C3%B6r+VAN-VAN-0019,https://www.hepsiburada.com/ara?q=Vantil+Vantilat%C3%B6r+VAN-VAN-0019,https://www.amazon.com.tr/s?k=Vantil+Vantilat%C3%B6r+VAN-VAN-0019,https://www.teknosa.com/arama/?s=Vantil+Vantilat%C3%B6r+VAN-VAN-0019,https://www.vatanbilgisayar.com/arama/Vantil+Vantilat%C3%B6r+VAN-VAN-0019
EV-00020,Süpürgeler,Dikey Süpürge,Dreame,Dreame Dikey Süpürge DRE-DIK-0020,14800,MediaMarkt,Üst,Ev Temizliği,"2754 W motor, HEPA filtre, Kablosuz",C,Siyah,24,4.1,1250,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0020,https://www.hepsiburada.com/ara?q=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0020,https://www.amazon.com.tr/s?k=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0020,https://www.teknosa.com/arama/?s=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0020,https://www.vatanbilgisayar.com/arama/Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0020
EV-00021,Süpürgeler,Toz Torbalı Süpürge,Beko,Beko Toz Torbalı Süpürge BEK-TOZ-0021,16800,Trendyol,Premium,Günlük Kullanım,"2052 W motor, HEPA filtre, Kablolu",A+,Turuncu,24,4.8,975,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Beko+Toz+Torbal%C4%B1+S%C3%BCp%C3%BCrge+BEK-TOZ-0021,https://www.hepsiburada.com/ara?q=Beko+Toz+Torbal%C4%B1+S%C3%BCp%C3%BCrge+BEK-TOZ-0021,https://www.amazon.com.tr/s?k=Beko+Toz+Torbal%C4%B1+S%C3%BCp%C3%BCrge+BEK-TOZ-0021,https://www.teknosa.com/arama/?s=Beko+Toz+Torbal%C4%B1+S%C3%BCp%C3%BCrge+BEK-TOZ-0021,https://www.vatanbilgisayar.com/arama/Beko+Toz+Torbal%C4%B1+S%C3%BCp%C3%BCrge+BEK-TOZ-0021
EV-00022,Evcil Hayvan Ürünleri,Akıllı Kedi Tuvaleti,Pawbby,Pawbby Akıllı Kedi Tuvaleti PAW-AKI-0022,47000,Trendyol,Premium,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",C,Siyah,24,4.0,3581,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Pawbby+Ak%C4%B1ll%C4%B1+Kedi+Tuvaleti+PAW-AKI-0022,https://www.hepsiburada.com/ara?q=Pawbby+Ak%C4%B1ll%C4%B1+Kedi+Tuvaleti+PAW-AKI-0022,https://www.amazon.com.tr/s?k=Pawbby+Ak%C4%B1ll%C4%B1+Kedi+Tuvaleti+PAW-AKI-0022,https://www.teknosa.com/arama/?s=Pawbby+Ak%C4%B1ll%C4%B1+Kedi+Tuvaleti+PAW-AKI-0022,https://www.vatanbilgisayar.com/arama/Pawbby+Ak%C4%B1ll%C4%B1+Kedi+Tuvaleti+PAW-AKI-0022
EV-00023,İçecek Hazırlama,Espresso Kahve Makinesi,Krups,Krups Espresso Kahve Makinesi KRU-ESP-0023,31750,n11,Fiyat/Performans,Pratik Kullanım,"964 W, otomatik kapanma",A+++,Beyaz,24,4.4,946,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Krups+Espresso+Kahve+Makinesi+KRU-ESP-0023,https://www.hepsiburada.com/ara?q=Krups+Espresso+Kahve+Makinesi+KRU-ESP-0023,https://www.amazon.com.tr/s?k=Krups+Espresso+Kahve+Makinesi+KRU-ESP-0023,https://www.teknosa.com/arama/?s=Krups+Espresso+Kahve+Makinesi+KRU-ESP-0023,https://www.vatanbilgisayar.com/arama/Krups+Espresso+Kahve+Makinesi+KRU-ESP-0023
EV-00024,Süpürgeler,Robot Süpürge,Anker,Anker Robot Süpürge ANK-ROB-0024,19600,Vatan Bilgisayar,Fiyat/Performans,Akıllı Ev,"Gyro navigasyon, 7281 Pa emiş, 170 dk çalışma",A+,Inox,24,3.8,1358,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Anker+Robot+S%C3%BCp%C3%BCrge+ANK-ROB-0024,https://www.hepsiburada.com/ara?q=Anker+Robot+S%C3%BCp%C3%BCrge+ANK-ROB-0024,https://www.amazon.com.tr/s?k=Anker+Robot+S%C3%BCp%C3%BCrge+ANK-ROB-0024,https://www.teknosa.com/arama/?s=Anker+Robot+S%C3%BCp%C3%BCrge+ANK-ROB-0024,https://www.vatanbilgisayar.com/arama/Anker+Robot+S%C3%BCp%C3%BCrge+ANK-ROB-0024
EV-00025,Mutfak,Doğrayıcı & Rondo,Tefal,Tefal Doğrayıcı & Rondo TEF-DOĞ-0025,1600,MediaMarkt,Üst,Günlük Kullanım,"419 W, çelik bıçak",B,Beyaz,24,4.2,12333,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Tefal+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+TEF-DO%C4%9E-0025,https://www.hepsiburada.com/ara?q=Tefal+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+TEF-DO%C4%9E-0025,https://www.amazon.com.tr/s?k=Tefal+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+TEF-DO%C4%9E-0025,https://www.teknosa.com/arama/?s=Tefal+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+TEF-DO%C4%9E-0025,https://www.vatanbilgisayar.com/arama/Tefal+Do%C4%9Fray%C4%B1c%C4%B1+%26+Rondo+TEF-DO%C4%9E-0025
EV-00026,Hava Nemlendirici & Temizleyiciler,Hava Temizleyici & Nemlendirici,Xiaomi,Xiaomi Hava Temizleyici & Nemlendirici XIA-HAV-0026,14200,Hepsiburada,Üst,Ev Kullanımı,"HEPA H13 filtre, 48 m² etki alanı",Belirtilmemiş,Krem,12,4.9,6069,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Hava+Temizleyici+%26+Nemlendirici+XIA-HAV-0026,https://www.hepsiburada.com/ara?q=Xiaomi+Hava+Temizleyici+%26+Nemlendirici+XIA-HAV-0026,https://www.amazon.com.tr/s?k=Xiaomi+Hava+Temizleyici+%26+Nemlendirici+XIA-HAV-0026,https://www.teknosa.com/arama/?s=Xiaomi+Hava+Temizleyici+%26+Nemlendirici+XIA-HAV-0026,https://www.vatanbilgisayar.com/arama/Xiaomi+Hava+Temizleyici+%26+Nemlendirici+XIA-HAV-0026
EV-00027,Evcil Hayvan Ürünleri,Akıllı Su Pınarı,Kiwi,Kiwi Akıllı Su Pınarı KIW-AKI-0027,5100,Trendyol,Giriş,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",A++,Krem,24,4.1,1768,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Kiwi+Ak%C4%B1ll%C4%B1+Su+P%C4%B1nar%C4%B1+KIW-AKI-0027,https://www.hepsiburada.com/ara?q=Kiwi+Ak%C4%B1ll%C4%B1+Su+P%C4%B1nar%C4%B1+KIW-AKI-0027,https://www.amazon.com.tr/s?k=Kiwi+Ak%C4%B1ll%C4%B1+Su+P%C4%B1nar%C4%B1+KIW-AKI-0027,https://www.teknosa.com/arama/?s=Kiwi+Ak%C4%B1ll%C4%B1+Su+P%C4%B1nar%C4%B1+KIW-AKI-0027,https://www.vatanbilgisayar.com/arama/Kiwi+Ak%C4%B1ll%C4%B1+Su+P%C4%B1nar%C4%B1+KIW-AKI-0027
EV-00028,Mutfak,Dondurma Makinesi,Karaca,Karaca Dondurma Makinesi KAR-DON-0028,23750,Vatan Bilgisayar,Üst,Günlük Kullanım,"1699 W, günlük kullanıma uygun, kompakt tasarım",A,Krem,24,4.4,847,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Karaca+Dondurma+Makinesi+KAR-DON-0028,https://www.hepsiburada.com/ara?q=Karaca+Dondurma+Makinesi+KAR-DON-0028,https://www.amazon.com.tr/s?k=Karaca+Dondurma+Makinesi+KAR-DON-0028,https://www.teknosa.com/arama/?s=Karaca+Dondurma+Makinesi+KAR-DON-0028,https://www.vatanbilgisayar.com/arama/Karaca+Dondurma+Makinesi+KAR-DON-0028
EV-00029,Mutfak,Dondurma Makinesi,Karaca,Karaca Dondurma Makinesi KAR-DON-0029,20250,Trendyol,Üst,Pratik Kullanım,"1275 W, günlük kullanıma uygun, kompakt tasarım",B,Siyah,24,4.7,9053,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Karaca+Dondurma+Makinesi+KAR-DON-0029,https://www.hepsiburada.com/ara?q=Karaca+Dondurma+Makinesi+KAR-DON-0029,https://www.amazon.com.tr/s?k=Karaca+Dondurma+Makinesi+KAR-DON-0029,https://www.teknosa.com/arama/?s=Karaca+Dondurma+Makinesi+KAR-DON-0029,https://www.vatanbilgisayar.com/arama/Karaca+Dondurma+Makinesi+KAR-DON-0029
